question,references
What cards did she design for the Society for Promoting Christian Knowledge?,"[{""content"": ""She published eight postcards and five guardian angel birthday cards for the Society for Promoting Christian Knowledge in 1916 and in 1923 respectively"", ""start_index"": 52910, ""end_index"": 53061}]"
What was the fate of the ship Atlanta after it was sold to Haiti?,"[{""content"": ""Several years after the end of the war , Atlanta was sold to Haiti , but was lost at sea in December 1869 on her delivery voyage "", ""start_index"": 106715, ""end_index"": 106844}]"
What international competitions has the Gambia women's national football team not participated in?,"[{""content"": ""The team has not participated in major regional and international tournaments , including the Women 's World Cup , the 2010 African Women 's Championship or the 2011 All @-@ Africa Games "", ""start_index"": 59519, ""end_index"": 59706}]"
How are points calculated for players in NHL statistics?,"[{""content"": "" In ice hockey , a combination of a player 's goals and assists are collectively called points "", ""start_index"": 86266, ""end_index"": 86361}]"
What are the various public uses of the Tower Building from 1911 through 1936?,"[{""content"": ""The Tower Building served as headquarters for the United Confederate Veterans Reunion , May 15 \u2013 18 , 1911 "", ""start_index"": 39898, ""end_index"": 40005}, {""content"": ""In 1912 , the second floor of the Tower Building became Little Rock 's first public library "", ""start_index"": 40305, ""end_index"": 40397}, {""content"": ""In 1936 , Works Progress Administration built the Museum of Fine Arts , now called the Arkansas Arts Center , just south of the Tower Building "", ""start_index"": 40594, ""end_index"": 40737}]"
"Who was in charge of the observatory from 1800 to 1821, and what were the primary tasks conducted under his management?","[{""content"": ""Gilii , highly respected as a polyglot with a knowledge of physics , biology , archeology and the Hebrew language , was in charge of the observatory from 1800 to 1821 "", ""start_index"": 92881, ""end_index"": 93048}, {""content"": ""He carried out continuous meteorological observations ( twice a day at 6 AM and 2 PM ) conforming to the programme of the Mannheim Meteorological Society "", ""start_index"": 93050, ""end_index"": 93204}]"
Who collaborated with Dorothy Barker on book publications?,"[{""content"": "" Our Darling \u2019 s First Book ( written in collaboration with Dorothy Barker ) ; Blackie , 1929 "", ""start_index"": 55789, ""end_index"": 55883}, {""content"": "" He Leadeth Me ( written in collaboration with Dorothy Barker ) ; Blackie , 1936 "", ""start_index"": 56060, ""end_index"": 56141}]"
What were the key historical events that led to modifications at the Vatican Observatory during Pope Pius X's era?,"[{""content"": ""The fourth stage involved remedying the problem of communicating between the two towers during the time of Pope Pius X. His plans were to make the Gregorian Tower into a historical tower and to record and carry out observations at the second tower by linking the two towers along the fortified wall with a 83 metres ( 272 ft ) iron bridge spanning the gap"", ""start_index"": 95090, ""end_index"": 95445}]"
What mediums did Barker use in her artwork?,"[{""content"": "" Barker worked principally in watercolor with pen @-@ and @-@ ink , but she was equally competent in black @-@ and @-@ white , in oils , and in pastels "", ""start_index"": 50324, ""end_index"": 50476}]"
"Who developed, produced, directed, and wrote the anime adaptation of Valkyria Chronicles III?","[{""content"": ""It was developed by A @-@ 1 Pictures , produced by Shinji <unk> , directed by Nobuhiro Kond\u014d , and written by Hiroshi <unk> "", ""start_index"": 18798, ""end_index"": 18922}]"
What were the outcomes of the Columbus Blue Jackets' games during their first three-game win streak of the season?,"[{""content"": ""Columbus again defeated the Coyotes three days later to earn their first three @-@ game win streak of the season"", ""start_index"": 82645, ""end_index"": 82757}]"
What were the manufacturing capabilities of the Little Rock Arsenal after Major General Thomas C. Hindman took command?,"[{""content"": ""Hindman established another armory at Arkadelphia , and revived the Little Rock Arsenal as a collection point and depot for armaments and ammunition manufacture for small arms "", ""start_index"": 30575, ""end_index"": 30751}, {""content"": "" \"" Machinery was made for manufacturing percussion caps and small arms , and both were turned out in small quantity , but of excellent quality "", ""start_index"": 30773, ""end_index"": 30916}]"
What are the main challenges faced by the squad known as the Nameless in Valkyria Chronicles III?,"[{""content"": ""As the Nameless officially do not exist , the upper echelons of the Gallian Army exploit the concept of plausible deniability in order to send them on missions that would otherwise make Gallia lose face in the war "", ""start_index"": 6240, ""end_index"": 6454}, {""content"": ""At the same time , elements within Gallian Army Command move to erase the Nameless in order to protect their own interests "", ""start_index"": 6824, ""end_index"": 6947}, {""content"": ""Hounded by both allies and enemies , and combined with the presence of a traitor within their ranks , the 422nd desperately move to keep themselves alive while at the same time fight to help the Gallian war effort "", ""start_index"": 6949, ""end_index"": 7163}]"
What types of work were performed at the Little Rock Arsenal during the month of August 1862?,"[{""content"": ""During the month of August , 1862 , the following work was performed : \"" <unk> : one pair of musket bullet moulds ; 10 @,@ 000 buck & ball shot cartridges ; repaired : 750 muskets , shotguns , and rifles ; received and repaired : ordnance stores and <unk> ; performed : guard , office , and police duties ; inspected : Posts at Camden and Arkadelphia "", ""start_index"": 34538, ""end_index"": 34889}]"
What was the original purpose of the ship Atlanta during the American Civil War before it was captured by the Union?,"[{""content"": ""Atlanta was a casemate ironclad that served in the Confederate and Union Navies during the American Civil War"", ""start_index"": 106080, ""end_index"": 106189}, {""content"": ""She was converted from a Scottish @-@ built blockade runner named Fingal by the Confederacy after she made one run to Savannah , Georgia "", ""start_index"": 106192, ""end_index"": 106329}, {""content"": ""After several failed attempts to attack Union blockaders , the ship was captured by two Union monitors in 1863 when she ran aground "", ""start_index"": 106331, ""end_index"": 106463}]"
Who wrote the lyrics for the opening theme song of Valkyria Chronicles III?,"[{""content"": ""Its lyrics were written by Seiko Fujibayashi , who had worked on May 'n on previous singles "", ""start_index"": 13079, ""end_index"": 13171}]"
What are the different classes of troops in the military unit described?,"[{""content"": ""Troops are divided into five classes : Scouts , <unk> , Engineers , Lancers and Armored Soldier "", ""start_index"": 4684, ""end_index"": 4780}]"
What are the details of Cicely Mary Barker's role in her sister's kindergarten?,"[{""content"": ""Her sister Dorothy taught kindergarten in two private schools before opening a kindergarten at home"", ""start_index"": 45534, ""end_index"": 45633}, {""content"": ""The children in the kindergarten modelled for the Flower Fairies until the kindergarten closed in 1940"", ""start_index"": 47224, ""end_index"": 47326}, {""content"": ""In an interview in 1958 , Barker said , \"" My sister ran a kindergarten and I used to borrow her students for models "", ""start_index"": 47329, ""end_index"": 47445}]"
Who succeeded Josiah Tattnall as commander of the Savannah squadron?,"[{""content"": ""Dissatisfied with Tattnall 's perceived lack of aggressiveness , Mallory replaced Tattnall as commander of the Savannah squadron later that month with Commander Richard L"", ""start_index"": 114683, ""end_index"": 114853}]"
What were Barker's initial artistic achievements?,"[{""content"": ""In 1911 , Raphael Tuck & Sons bought four of Barker 's \"" little drawings \"" for half a sovereign , and published them as postcards "", ""start_index"": 44866, ""end_index"": 44996}, {""content"": ""In October 1911 , she won second prize in the Croydon Art Society 's poster competition , and shortly afterward was elected the youngest member of the Society "", ""start_index"": 44998, ""end_index"": 45157}]"
What was the main color of the Nameless in Valkyria Chronicles III?,"[{""content"": ""The main color of the Nameless was black"", ""start_index"": 11316, ""end_index"": 11356}]"
What modifications were made to the observatory for astronomical observations during the third stage?,"[{""content"": ""In 1891 , Pope Leo XIII , promulgating the motu proprio Ut <unk> , designated the second tower as the seat of the newly established Vatican Observatory , a decision which required altering the roof to provide a flat terrace for astronomical observations "", ""start_index"": 94809, ""end_index"": 95063}]"
What were the two manga adaptations of Senjō no Valkyria 3?,"[{""content"": ""They were Senj\u014d no Valkyria 3 : Namo <unk> <unk> no Hana ( \u6226\u5834\u306e\u30f4\u30a1\u30eb\u30ad\u30e5\u30ea\u30a23 <unk> , lit . Valkyria of the Battlefield 3 : The Flower of the Nameless Oath ) , illustrated by Naoyuki Fujisawa and eventually released in two volumes after being serialized in Dengeki Maoh between 2011 and 2012 ;"", ""start_index"": 20269, ""end_index"": 20555}, {""content"": ""Senj\u014d no Valkyria 3 : <unk> Unmei no <unk> <unk> ( \u6226\u5834\u306e\u30f4\u30a1\u30eb\u30ad\u30e5\u30ea\u30a23 <unk> , lit . Valkyria of the Battlefield 3 -The Valkyrie of the Crimson Fate ) , illustrated by Mizuki Tsuge and eventually released in a single volume by Kadokawa Shoten in 2012"", ""start_index"": 20560, ""end_index"": 20802}]"
What were the outcomes of Columbus Blue Jackets' trade attempts during the NHL trade deadline period?,"[{""content"": ""Two weeks prior to the NHL trade deadline , Columbus announced that unlike earlier in the season , they would listen to trade proposals involving Rick Nash , though they were not actively shopping him "", ""start_index"": 80518, ""end_index"": 80719}, {""content"": ""\"" Leading up to the trade deadline , the Blue Jackets dealt Antoine <unk> to the Phoenix Coyotes for two draft picks and goaltender Curtis McElhinney "", ""start_index"": 80979, ""end_index"": 81129}, {""content"": ""The following day , on February 23 , Columbus traded Jeff Carter to the Kings "", ""start_index"": 81269, ""end_index"": 81347}, {""content"": ""At the deadline , Columbus was unable to come to terms on a deal involving Nash , but they did make one more move ; they sent center Samuel Pahlsson to the Vancouver Canucks in exchange for two fourth @-@ round draft picks and minor league defenseman Taylor Ellington "", ""start_index"": 81514, ""end_index"": 81782}]"
What were the key findings from the phylogenetic analysis of the plain maskray conducted in 2012?,"[{""content"": ""In a 2012 phylogenetic analysis based on mitochondrial and nuclear DNA , the plain maskray and the Ningaloo maskray ( N. <unk> ) were found to be the most basal members of Neotrygon"", ""start_index"": 64211, ""end_index"": 64392}]"
What impact did Jeff Carter's acquisition have on the Columbus Blue Jackets as perceived by the fans and management?,"[{""content"": ""The first deal General Manager Scott Howson made was the acquisition of All @-@ Star forward Jeff Carter on June 23 , 2011 "", ""start_index"": 70832, ""end_index"": 70955}, {""content"": ""The trade received a positive response in Columbus from fans and management who felt they finally had a number one center to play alongside of their best player , Rick Nash "", ""start_index"": 71149, ""end_index"": 71322}]"
What were the consequences of Jeff Carter's foot injury for the Columbus Blue Jackets?,"[{""content"": "" After the first five games , all losses , Jeff Carter suffered a broken foot that kept him out of the line @-@ up for 10 games "", ""start_index"": 73001, ""end_index"": 73129}, {""content"": ""While Carter was injured , the Blue Jackets continued to lose games "", ""start_index"": 73131, ""end_index"": 73199}]"
Who wrote the song 'There's Got to Be a Way' by Mariah Carey?,"[{""content"": "" \"" There 's Got to Be a Way \"" was written by Mariah Carey and Ric Wake for Carey 's self @-@ titled debut studio album ( 1990 ) "", ""start_index"": 99106, ""end_index"": 99234}, {""content"": ""It was written during Carey and Wake 's first recording session together "", ""start_index"": 99236, ""end_index"": 99309}]"
"What historical impacts did Japanese, Chinese, and Taiwanese trawlers have on the plain maskray?","[{""content"": ""Historically , this species may also have been negatively affected by Japanese , Chinese , and Taiwanese trawlers that fished intensively off northern Australia from 1959 to 1990 "", ""start_index"": 68593, ""end_index"": 68772}]"
What were the outcomes of the Blue Jackets' games immediately following goaltender Steve Mason's injury?,"[{""content"": ""Three days later , on March 28 , goaltender Steve Mason was injured in the morning skate when a shot from Colton Gillies hit him in the mask "", ""start_index"": 83398, ""end_index"": 83539}, {""content"": ""Playing against the Detroit Red Wings , York made 29 saves , including 17 in the third period , helping Columbus to a 4 \u2013 2 victory and giving York his first career NHL win "", ""start_index"": 83601, ""end_index"": 83774}, {""content"": ""York remained the starter and led the Blue Jackets to a second three @-@ game winning streak"", ""start_index"": 83776, ""end_index"": 83868}, {""content"": ""In his fourth start , Columbus was shutout by the Coyotes despite a franchise @-@ record 54 shots on goal , losing 2 \u2013 0 "", ""start_index"": 83871, ""end_index"": 83992}]"
What were the Columbus Blue Jackets' records with Ken Hitchcock as coach compared to their start of the season?,"[{""content"": ""Hitchcock began his Blues coaching career with a 6 \u2013 1 \u2013 2 record in his first nine games , while Columbus amassed a 6 \u2013 13 \u2013 3 record to start the season "", ""start_index"": 74867, ""end_index"": 75022}]"
What historical events impacted the naming of MacArthur Park in 1942?,"[{""content"": ""Due to the efforts of Bernie Babcock , however , the city finally named it MacArthur Park in 1942 in honor of Douglas MacArthur "", ""start_index"": 41513, ""end_index"": 41641}]"
What were the professional affiliations of Cicely Mary Barker's children-themed artworks?,"[{""content"": "" Barker 's sketches , drawings , and paintings of children were given to friends or to the parents of the subjects , donated to charitable institutions and church sponsored events , or exhibited through various art organizations "", ""start_index"": 51610, ""end_index"": 51839}, {""content"": ""She illustrated magazine covers , dust jackets , and produced series of postcards for Raphael Tuck and other publishers such as Picturesque Children of the Allies ( 1915 ) , Seaside Holidays ( 1918 ) , and Shakespeare 's Boy and Girl Characters ( 1917 , 1920 ) "", ""start_index"": 51841, ""end_index"": 52102}]"
What are the specific decorations described for the interior walls and ceiling of the hall in the tower?,"[{""content"": ""The interior walls and ceiling of the hall were richly decorated , in some cases with gaudy frescoes of the hills and Roman countryside , the <unk> , religious themes , the buildings surrounding the area , and naval shipwrecks with Jesus calming the storm and so forth "", ""start_index"": 97891, ""end_index"": 98160}]"
What were the results of the Blue Jackets' games led by goaltender York?,"[{""content"": ""Playing against the Detroit Red Wings , York made 29 saves , including 17 in the third period , helping Columbus to a 4 \u2013 2 victory and giving York his first career NHL win "", ""start_index"": 83601, ""end_index"": 83774}, {""content"": ""In his fourth start , Columbus was shutout by the Coyotes despite a franchise @-@ record 54 shots on goal , losing 2 \u2013 0 "", ""start_index"": 83871, ""end_index"": 83992}]"
What were the actions taken by Bulloch on the night of 12 November during the Fingal expedition?,"[{""content"": ""Fingal was able slip safely into the Savannah estuary in a heavy fog on the night of 12 November without sighting any blockaders"", ""start_index"": 109171, ""end_index"": 109299}]"
What are the main character abilities in the battle system of Valkyria Chronicles?,"[{""content"": ""Characters also have Special Abilities that grant them temporary boosts on the battlefield : Kurt can activate \"" Direct Command \"" and move around the battlefield without depleting his Action Point gauge , the character <unk> can shift into her \"" Valkyria Form \"" and become invincible , while Imca can target multiple enemy units with her heavy weapon "", ""start_index"": 4329, ""end_index"": 4680}]"
What were the differences in lyrical themes between 'There's Got to Be a Way' and 'Vision of Love'?,"[{""content"": ""He noted that \"" There 's Got to Be a Way \"" follows the same melodic tone as the album 's opener \"" Vision of Love \"" but highlighted their stark lyrical differences , as the former is about social activism and the latter is about love "", ""start_index"": 101527, ""end_index"": 101760}]"
What were the release dates for the DVD versions of the Valkyria Chronicles 3 anime?,"[{""content"": ""It later released for DVD on June 29 and August 31 , 2011 , with separate \"" Black \"" and \"" Blue \"" editions being available for purchase "", ""start_index"": 18460, ""end_index"": 18595}]"
What divisions did the Blue Jackets belong to during the season described?,"[{""content"": "" Since being founded as an expansion team , the Blue Jackets have played in the Central Division of the Western Conference "", ""start_index"": 85439, ""end_index"": 85562}]"
What were the significant changes to the observatory at the Roman College after Mgr. Gilii's death?,"[{""content"": ""Subsequent to Gilii 's death in 1821 , the observatory on the tower was discontinued and the instruments were moved to the observatory at the Roman College "", ""start_index"": 93346, ""end_index"": 93502}, {""content"": ""Established in 1787 , it was considered more suitable for making observations than the Vatican "", ""start_index"": 93504, ""end_index"": 93599}]"
Who was responsible for the initial construction of the tower intended for astronomical observations?,"[{""content"": "" The first stage of building of the tower , as recorded by Leo XIII in his motu proprio Ut <unk> of 1891 , is credited to Pope Gregory XIII , Pope from 1572 to 1585 "", ""start_index"": 90621, ""end_index"": 90786}]"
What were the significant events during Columbus Blue Jackets' game described in the text?,"[{""content"": ""James Wisniewski made his Columbus debut , Ryan Johansen and John Moore scored their first career NHL goals and Grant <unk> had a career @-@ high three assists "", ""start_index"": 73764, ""end_index"": 73924}, {""content"": ""Columbus was unable to create any momentum from the win , however , and continued to struggle , culminating in a 2 \u2013 12 \u2013 1 record , which was the worst start to an NHL season for any team in 19 years "", ""start_index"": 73926, ""end_index"": 74127}]"
What role did Queen Christina of Sweden play in the history of the Meridian Room?,"[{""content"": ""The Sundial Room , also called the Meridian Hall , was once the residence of Queen Christina of Sweden , then newly converted to Catholicism "", ""start_index"": 96751, ""end_index"": 96892}]"
What are the major intersections described for Nebraska Highway 88?,"[{""content"": "" N @-@ 88 starts at the Nebraska \u2013 Wyoming state line in Banner County , where WYO 151 ends , and travels northeast "", ""start_index"": 103658, ""end_index"": 103774}, {""content"": ""N @-@ 88 turns northeast soon after , and ends at the intersection of US 385 and N @-@ 92 "", ""start_index"": 104652, ""end_index"": 104742}]"
What institutions were merged to form the Arkansas Museum of Discovery?,"[{""content"": ""In 1997 , the Museum of Science and Natural History merged with the Little Rock Children 's Museum , which had been located in Union Station , to form the Arkansas Museum of Discovery "", ""start_index"": 41645, ""end_index"": 41829}]"
What are the titles of the religious-themed books by Barker mentioned in the text?,"[{""content"": ""Religious @-@ themed books include The Children 's Book of Hymns ( 1929 ) and He Leadeth Me ( 1933 )"", ""start_index"": 53516, ""end_index"": 53616}]"
What were some of the thematic focuses in the artworks of Barker?,"[{""content"": "" Barker worked principally in watercolor with pen @-@ and @-@ ink , but she was equally competent in black @-@ and @-@ white , in oils , and in pastels "", ""start_index"": 50324, ""end_index"": 50476}, {""content"": ""Barker 's child subjects wear nostalgic clothing as Greenaway 's children do , though Barker 's children are less melancholy and less flat in appearance , due perhaps to advances in printing technology "", ""start_index"": 50788, ""end_index"": 50990}, {""content"": ""Barker studied flowers with an analytical eye and was friend to children 's illustrator , Margaret Tarrant "", ""start_index"": 50992, ""end_index"": 51099}, {""content"": ""The Pre @-@ Raphaelites were a strong , lifelong influence on Barker "", ""start_index"": 51189, ""end_index"": 51258}]"
What are the classes of troops in the game?,"[{""content"": ""Troops are divided into five classes : Scouts , <unk> , Engineers , Lancers and Armored Soldier "", ""start_index"": 4684, ""end_index"": 4780}]"
What roles did Dorothy Oswald Barker undertake to support the family?,"[{""content"": "" Following her father \u2019 s death in June 1912 , the seventeen @-@ year @-@ old Barker submitted art and poetry to My Magazine , Child \u2019 s Own , Leading Strings , and Raphael Tuck annuals in an effort to support both her mother and sister "", ""start_index"": 45295, ""end_index"": 45532}, {""content"": ""Her sister Dorothy taught kindergarten in two private schools before opening a kindergarten at home"", ""start_index"": 45534, ""end_index"": 45633}, {""content"": ""She brought in some money for the family 's support while supervising the household "", ""start_index"": 45636, ""end_index"": 45720}]"
What allegations did Scott Howson make regarding the clock incident during the Blue Jackets' game against the Kings?,"[{""content"": ""Howson stated on the team 's blog that \"" It is an amazing coincidence that with the Kings on a power play at Staples Center and with a mad scramble around our net in the dying seconds of the third period of a 2 \u2013 2 hockey game that the clock stopped for at least one full second , \"" adding that , \"" Either there was a deliberate stopping of the clock or the clock malfunctioned "", ""start_index"": 79709, ""end_index"": 80087}]"
What was the content of Cicely Mary Barker's book 'Groundsel and Necklaces'?,"[{""content"": ""Set about 1800 , Groundsel and Necklaces ( 1943 ) tells of a girl named Jenny who rescues her family from poverty through the agency of the fairies "", ""start_index"": 52281, ""end_index"": 52429}]"
Who performed the percussion for 'There's Got to Be a Way'?,"[{""content"": ""Joe Franco performed the percussion"", ""start_index"": 99857, ""end_index"": 99892}]"
What are the traffic statistics for the N @-@ 71 / N @-@ 88 concurrency measured in 2012?,"[{""content"": ""In 2012 , Nebraska Department of Roads ( <unk> ) calculated as many as 2 @,@ 410 vehicles traveling on the N @-@ 71 / N @-@ 88 concurrency , and as few as 315 vehicles traveling east of the Banner \u2013 Morrill county line "", ""start_index"": 104744, ""end_index"": 104963}]"
What were the musical elements used in 'There's Got to Be a Way' by Mariah Carey?,"[{""content"": "" \"" There 's Got to Be a Way \"" is an R & B @-@ pop music song with elements of gospel "", ""start_index"": 100350, ""end_index"": 100435}]"
What are the characteristics of the plain maskray's tail?,"[{""content"": ""The tail is short , barely exceeding the length of the disc when intact , and has a broad and flattened base leading to usually two stinging spines "", ""start_index"": 65528, ""end_index"": 65676}, {""content"": ""After the stings , the tail becomes slender and bears a long ventral fin fold and a much shorter , lower dorsal fin fold "", ""start_index"": 65678, ""end_index"": 65799}, {""content"": ""The tail behind the stings has alternating black and white bands of variable width , ending with black at the tip "", ""start_index"": 66177, ""end_index"": 66291}]"
What were the career milestones for Vaclav during the NHL season discussed?,"[{""content"": ""Vaclav <unk> played in his 1,000th NHL game during the year"", ""start_index"": 88454, ""end_index"": 88513}]"
What modifications were made to the Gregorian Tower during the third stage of its revival?,"[{""content"": ""In 1891 , Pope Leo XIII , promulgating the motu proprio Ut <unk> , designated the second tower as the seat of the newly established Vatican Observatory , a decision which required altering the roof to provide a flat terrace for astronomical observations "", ""start_index"": 94809, ""end_index"": 95063}]"
What are the two museums housed in the Tower Building of the Little Rock Arsenal?,"[{""content"": ""Since its decommissioning , The Tower Building has housed two museums "", ""start_index"": 21094, ""end_index"": 21164}, {""content"": ""It was home to the Arkansas Museum of Natural History and Antiquities from 1942 to 1997 and the MacArthur Museum of Arkansas Military History since 2001"", ""start_index"": 21166, ""end_index"": 21318}]"
What prompted the transfer of the tower building and the adjacent land to the city of Little Rock?,"[{""content"": ""\"" On April 12 , 1893 the tower building and the surrounding buildings were traded to the city of Little Rock for 1 @,@ 000 acres ( 4 km \u00b2 ) in North Little Rock under the condition that the building and land be \"" forever exclusively devoted to the uses and purposes of a public park \"" for 1 @,@ 000 acres ( 4 km \u00b2 ) in Big Rock Mountain on the north side of the Arkansas River , present day North Little Rock "", ""start_index"": 38255, ""end_index"": 38664}]"
What modifications were made to the Little Rock Arsenal building prior to its 1880 renovation?,"[{""content"": ""Prior to renovation , a rear basement door provided the only entrance to the building , while the tower served as a hoist to move munitions between floors "", ""start_index"": 37485, ""end_index"": 37640}]"
What events contributed to the Columbus Blue Jackets' decision to hire Todd Richards as interim coach?,"[{""content"": ""As the clubs slow start continued , there were rumors that Head Coach Scott Arniel would be fired and replaced with Ken Hitchcock "", ""start_index"": 74404, ""end_index"": 74534}, {""content"": "" At the halfway point of the season , with the Blue Jackets barely into double digit wins with an 11 \u2013 25 \u2013 5 record , worst in the league , and sitting 20 points out of playoff position , Columbus fired Arniel "", ""start_index"": 77292, ""end_index"": 77503}, {""content"": ""He was replaced by Assistant Coach Todd Richards on an interim basis"", ""start_index"": 77505, ""end_index"": 77573}]"
What were the functions of the sundial and the <unk> installed in the Meridian Hall during the Gregorian Calendar Reform?,"[{""content"": ""The sundial consisted of a straight line in white marble running across the floor in a north @-@ south direction , intended to measure the height of the Sun at noon according to the seasons of the year "", ""start_index"": 97187, ""end_index"": 97389}, {""content"": ""The <unk> , in contrast , was a complex mechanism attached to the ceiling which was used to measure the strength and direction of the wind but soon stopped functioning "", ""start_index"": 97506, ""end_index"": 97674}]"
What were the results of the transactions involving Rick Nash by the Columbus Blue Jackets?,"[{""content"": ""Two weeks prior to the NHL trade deadline , Columbus announced that unlike earlier in the season , they would listen to trade proposals involving Rick Nash , though they were not actively shopping him "", ""start_index"": 80518, ""end_index"": 80719}, {""content"": ""At the deadline , Columbus was unable to come to terms on a deal involving Nash , but they did make one more move ; they sent center Samuel Pahlsson to the Vancouver Canucks in exchange for two fourth @-@ round draft picks and minor league defenseman Taylor Ellington "", ""start_index"": 81514, ""end_index"": 81782}, {""content"": ""Following the trade deadline , Howson announced that the team had attempted to trade Nash at the player 's request "", ""start_index"": 81784, ""end_index"": 81899}, {""content"": ""Nash stated that he had requested the trade after being informed that the franchise was going into another rebuilding phase"", ""start_index"": 81901, ""end_index"": 82024}]"
"What changes occurred to the designations of N @-@ 29, N @-@ 19, and US 26 near Bridgeport?","[{""content"": ""By 1960 , N @-@ 19 was renumbered to US 385 , and US 26 was rerouted north near Bridgeport "", ""start_index"": 105635, ""end_index"": 105726}]"
"How did the Columbus Blue Jackets perform in March and early April, including details of winning streaks and playoff contention status?","[{""content"": "" Columbus started March with a 2 \u2013 0 shutout against the Colorado Avalanche "", ""start_index"": 82374, ""end_index"": 82450}, {""content"": ""They proceeded to win their next game against the Phoenix Coyotes 5 \u2013 2 , which marked the first time that the Blue Jackets posted back @-@ to @-@ back regulation victories during the season "", ""start_index"": 82452, ""end_index"": 82643}, {""content"": ""They immediately matched their four @-@ game win streak with a four @-@ game losing streak and with ten games remaining , the Blue Jackets were the first team eliminated from playoff contention "", ""start_index"": 82977, ""end_index"": 83171}]"
What was the outcome of Mason's return game against the Vancouver Canucks after his concussion?,"[{""content"": ""Mason returned from his concussion after two games , making a start against the Vancouver Canucks "", ""start_index"": 75677, ""end_index"": 75775}, {""content"": ""Mason allowed only one goal in the game despite suffering from cramping in the third period , temporarily being replaced by Sanford for just over three minutes "", ""start_index"": 75777, ""end_index"": 75937}, {""content"": ""Columbus won the game 2 \u2013 1 in a shootout , breaking a nine @-@ game losing streak to the Canucks "", ""start_index"": 75939, ""end_index"": 76037}]"
